USER_ID,USERNAME,TASK_COMPLETED_STATUS,TASK_TITLE
4,Patricia Lebsack,Yes,odit optio omnis qui sunt
4,Patricia Lebsack,No,et placeat et tempore aspernatur sint numquam
4,Patricia Lebsack,Yes,doloremque aut dolores quidem fuga qui nulla
4,Patricia Lebsack,No,voluptas consequatur qui ut quia magnam nemo esse
4,Patricia Lebsack,No,fugiat pariatur ratione ut asperiores necessitatibus magni
4,Patricia Lebsack,No,rerum eum molestias autem voluptatum sit optio
4,Patricia Lebsack,No,quia voluptatibus voluptatem quos similique maiores repellat
4,Patricia Lebsack,No,aut id perspiciatis voluptatem iusto
4,Patricia Lebsack,No,doloribus sint dolorum ab adipisci itaque dignissimos aliquam suscipit
4,Patricia Lebsack,No,ut sequi accusantium et mollitia delectus sunt
4,Patricia Lebsack,No,aut velit saepe ullam
4,Patricia Lebsack,No,praesentium facilis facere quis harum voluptatibus voluptatem eum
4,Patricia Lebsack,Yes,sint amet quia totam corporis qui exercitationem commodi
4,Patricia Lebsack,No,expedita tempore nobis eveniet laborum maiores
4,Patricia Lebsack,No,occaecati adipisci est possimus totam
4,Patricia Lebsack,Yes,sequi dolorem sed
4,Patricia Lebsack,No,maiores aut nesciunt delectus exercitationem vel assumenda eligendi at
4,Patricia Lebsack,No,reiciendis est magnam amet nemo iste recusandae impedit quaerat
4,Patricia Lebsack,Yes,eum ipsa maxime ut
4,Patricia Lebsack,Yes,tempore molestias dolores rerum sequi voluptates ipsum consequatur
